,rating_mean,cloze_p_smoothed,cloze_s,s_GPTNeo_2.7B,s_GPTNeo,s_GPTNeo_125M,s_GPT2_xl,s_GPT2_large,s_GPT2_medium,s_GPT2,rnn,psg,bigram,trigram,tetragram,rnn_pos,psg_pos,bigram_pos,trigram_pos,tetragram_pos,RTfirstfix,RTfirstpass,RTgopast,RTrightbound,self_paced_reading_time,ELAN,LAN,N400,P600,EPNP,PNP
rating_mean,1.0,0.6371364509814297,-0.7380250849259964,-0.6857760488727737,-0.6792125629227382,-0.6590335931789966,-0.6982745028636085,-0.6893196214494167,-0.6624467105260258,-0.642170149198913,-0.584350304026967,-0.6072170113277502,-0.6127730583498622,-0.6495180102015335,-0.6572478742083478,-0.08683978063263714,-0.07344923348006552,-0.09232036876766203,-0.09846760253380478,-0.08855640827481241,-0.3476265105083986,-0.37123478782329616,-0.3169253484935449,-0.3736662452510926,-0.15066455134077583,-0.11275885627683317,0.21224978002967035,0.29829976097984146,0.06600595586554048,0.08978673926397958,-0.02574188480182286
cloze_p_smoothed,0.6371364509814297,1.0,-0.8617094463988803,-0.601573949601829,-0.5918749615372167,-0.5799194684738086,-0.6142741776570437,-0.606015616253106,-0.5818989887147612,-0.5814831867443786,-0.4645116614434333,-0.4766600978919164,-0.4793993704417071,-0.5245612323060095,-0.5315364103419494,-0.06843510169842698,-0.05648644437620625,-0.0905895340463071,-0.08060950592156976,-0.076392336574646,-0.3263659482501908,-0.34500884895632183,-0.24220325626068545,-0.341000187897471,-0.12233037990521463,-0.07483841202906737,0.12873051447743072,0.2329913193890944,-0.01894145475854972,0.015737947171140687,-0.09463613776005876
cloze_s,-0.7380250849259964,-0.8617094463988803,1.0,0.733891501863624,0.7191989037625616,0.7011381540994348,0.7444665646069474,0.7333209258829095,0.7083651692552566,0.699906905695579,0.5703322933969657,0.5998230964594693,0.6008836198168892,0.6351202327648893,0.6400986089328373,0.05368227213458311,0.038261431949642044,0.08700417996149637,0.07094921434088523,0.0592551487029307,0.42594442835082236,0.4562367131099624,0.3449658446550181,0.4515464544527979,0.12456904484118761,0.11071035473715474,-0.17017809216357419,-0.25877556213735853,-0.018089313299748066,-0.0675640742238462,0.07583986155550106
s_GPTNeo_2.7B,-0.6857760488727737,-0.601573949601829,0.733891501863624,1.0,0.9729407129483305,0.9491279373124374,0.9710402138426215,0.9662170845166679,0.9609890080199118,0.9394043911638196,0.6757642827334885,0.7222722778609298,0.7329156541957476,0.7553803874354997,0.7598191660668132,0.09921455318490284,0.06837003461889961,0.1157180646114307,0.1149466493829877,0.1102267986868466,0.4641566846384362,0.5147623942029932,0.39881931910297236,0.5132252722813203,0.1660784751350014,0.0916353566665094,-0.18471360233464792,-0.2745336178879566,-0.0271067740914823,-0.1257363058512136,0.035728978882156585
s_GPTNeo,-0.6792125629227382,-0.5918749615372167,0.7191989037625616,0.9729407129483305,1.0,0.9467919539840747,0.9663781749113652,0.9656670384295982,0.9593943790033722,0.9412882184652158,0.669980062264448,0.7125861284588153,0.7242592030213798,0.7475090165187009,0.7514723326085323,0.09127091944621162,0.0628768229803028,0.10912923431799147,0.10870276126679064,0.10164887184852046,0.4648859339405238,0.5134191439965987,0.4007634862237855,0.5122978040271108,0.15732558326580962,0.09303365676246973,-0.18253313895779685,-0.2808385587557503,-0.024431176504463775,-0.12663572773002774,0.038079737384543524
s_GPTNeo_125M,-0.6590335931789966,-0.5799194684738086,0.7011381540994348,0.9491279373124374,0.9467919539840747,1.0,0.9529826818118954,0.9552431147696409,0.9542463223411219,0.9579501257908911,0.710752950383876,0.7516432410642272,0.7599122417791981,0.7772593488363393,0.7784053613115762,0.08281713756298129,0.06025511683261333,0.0999681141062446,0.10353360319984249,0.09862705334369584,0.4906363168978798,0.5421897445648385,0.430099148292446,0.5430003542123282,0.17153749079196098,0.08417190293080497,-0.19261008536110483,-0.2835185692525822,-0.004498722086788524,-0.12199826341008134,0.04716435382915453
s_GPT2_xl,-0.6982745028636085,-0.6142741776570437,0.7444665646069474,0.9710402138426215,0.9663781749113652,0.9529826818118954,1.0,0.9862089962570966,0.9763541312684825,0.955721379250284,0.6937393080808241,0.7395941289850037,0.7497823380179907,0.7715805010702039,0.775414881913475,0.10255426611333641,0.07386504910182322,0.12134380206369665,0.11882883961050397,0.11165158635004957,0.4773879250664697,0.5263792570343871,0.41161101951930196,0.5260399133132387,0.16889839743445118,0.09913603292517313,-0.19468331158213975,-0.2848883273194908,-0.011213947464843168,-0.11995660142575076,0.04868053647994771
s_GPT2_large,-0.6893196214494167,-0.606015616253106,0.7333209258829095,0.9662170845166679,0.9656670384295982,0.9552431147696409,0.9862089962570966,1.0,0.9792573649609345,0.96298220987963,0.6970610522060319,0.7417033511344885,0.7507583770139662,0.7713951702193389,0.7749271091854919,0.10043808250911793,0.0733739388511969,0.11943192942348371,0.11586100003521321,0.1094558289422876,0.4789819222145952,0.5283434476380966,0.4129868337660513,0.5284333618113052,0.16174185627156074,0.09893192278182683,-0.1913809912663383,-0.2821610356286647,-0.014059702641909973,-0.11606878748878463,0.04917139918127938
s_GPT2_medium,-0.6624467105260258,-0.5818989887147612,0.7083651692552566,0.9609890080199118,0.9593943790033722,0.9542463223411219,0.9763541312684825,0.9792573649609345,1.0,0.9608885138740405,0.6697205920700406,0.7193185172053849,0.7260568877487313,0.7446654753135349,0.7483757625866398,0.08643552400754434,0.058586823581505326,0.1049581864202512,0.1017171985093565,0.09566606169356072,0.45840442696016037,0.5115678827444303,0.39658180617172983,0.5110036555117817,0.16585687074280317,0.08854998409380616,-0.1783897457461812,-0.27352270862560757,-0.020629823301232808,-0.10777727792266825,0.04683293612944512
s_GPT2,-0.642170149198913,-0.5814831867443786,0.699906905695579,0.9394043911638196,0.9412882184652158,0.9579501257908911,0.955721379250284,0.96298220987963,0.9608885138740405,1.0,0.7060009678461516,0.7451740173356921,0.7466530466860868,0.7627541830514923,0.7647504042871094,0.07359391641751797,0.051051118525570566,0.09290592872508521,0.091183388759582,0.0846176485978262,0.49608724605326,0.5480196404280894,0.42945587129797,0.5468732513940229,0.15431795351583386,0.07348058970379295,-0.19081711948603866,-0.28247182696996703,0.004909603549534996,-0.11609608727841048,0.0536181411313608
rnn,-0.584350304026967,-0.4645116614434333,0.5703322933969657,0.6757642827334885,0.669980062264448,0.710752950383876,0.6937393080808241,0.6970610522060319,0.6697205920700406,0.7060009678461516,1.0,0.9127901216566716,0.9158116051355827,0.8819552865137125,0.866418959211814,0.14064323687725366,0.12661261885589256,0.15277123173975754,0.15946798478684007,0.14843597654554622,0.5987454939729699,0.6064295838436725,0.5176969576377801,0.6030868916658222,0.1349722134229302,0.13912172058782596,-0.20014286067023837,-0.27159316925182597,0.09359135409000949,-0.04090196670498811,0.12659034710135955
psg,-0.6072170113277502,-0.4766600978919164,0.5998230964594693,0.7222722778609298,0.7125861284588153,0.7516432410642272,0.7395941289850037,0.7417033511344885,0.7193185172053849,0.7451740173356921,0.9127901216566716,1.0,0.9301815300290798,0.8966336407783558,0.8806000260604678,0.15885721559885926,0.15999514356167605,0.17701858358999856,0.17187849062569868,0.16875950141753585,0.5929517267721333,0.6065854366333884,0.5134626093563774,0.6056827493545526,0.13293969080142293,0.12372422646252998,-0.20231888607962328,-0.26471418125121665,0.08552044529946323,-0.05146437366815891,0.11319927139914665
