,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
0,RTfirstfix,bigram,0.04466684687375548,-1413.270176349523,-1414.069040895662,0.798864546139157,0.6531025630072291,yellow
1,RTfirstfix,trigram,0.16537152124725707,-1413.3552024317555,-1414.069040895662,0.7138384639065407,0.4451351215740188,darkgrey
2,RTfirstfix,tetragram,0.10690222232680036,-1413.2197427122624,-1414.069040895662,0.8492981833996964,0.48073945199551604,darkgrey
3,RTfirstfix,psg,0.017852478224432627,-1412.773619488041,-1414.069040895662,1.2954214076210064,0.5888332637079238,yellow
4,RTfirstfix,rnn,0.16924688805970362,-1413.6228150145248,-1414.069040895662,0.44622588113725214,0.7319834457038056,darkgrey
5,RTfirstfix,s_GPT2,0.014582979719793457,-1412.781658055293,-1414.069040895662,1.2873828403689913,0.6291399032612128,yellow
6,RTfirstfix,s_GPT2_medium,0.056635111592073954,-1413.1894036981305,-1414.069040895662,0.8796371975315651,0.6054538996344541,darkgrey
7,RTfirstfix,s_GPT2_large,0.07338039029849036,-1413.2685516344004,-1414.069040895662,0.8004892612616459,0.5924170132360467,darkgrey
8,RTfirstfix,s_GPT2_xl,0.07099651866592872,-1413.3145396510308,-1414.069040895662,0.7545012446312285,0.6467748707942875,darkgrey
9,RTfirstfix,s_GPTNeo_125M,0.029890188601681477,-1413.2231946167592,-1414.069040895662,0.8458462789028545,0.7601038487854077,yellow
10,RTfirstfix,s_GPTNeo,0.0256338383251917,-1413.3647579535186,-1414.069040895662,0.7042829421434362,0.8786196078322674,yellow
11,RTfirstfix,s_GPTNeo_large,0.08165076958731884,-1413.4692656234836,-1414.069040895662,0.5997752721784764,0.7045989262896489,darkgrey
12,RTfirstfix,cloze_p_smoothed,0.1562550713909593,-1413.8048724489788,-1414.069040895662,0.264168446683243,0.6943913902875126,darkgrey
13,RTfirstfix,cloze_s,0.016628078898283136,-1412.6927568163774,-1414.069040895662,1.3762840792846873,0.5772503294881264,yellow
14,RTfirstfix,rating_mean,0.09914213745795403,-1413.1861027994487,-1414.069040895662,0.8829380962133655,0.4372259841028684,darkgrey
15,RTfirstpass,bigram,0.2849421870747421,-1500.82203143981,-1501.4485635797707,0.6265321399607728,0.34260422488794473,darkgrey
16,RTfirstpass,trigram,0.1674525208360554,-1500.7510717880505,-1501.4485635797707,0.6974917917202674,0.4467173456810938,darkgrey
17,RTfirstpass,tetragram,0.06644675351875969,-1500.5335995571672,-1501.4485635797707,0.914964022603499,0.48946429625231824,darkgrey
18,RTfirstpass,psg,0.014845768012730293,-1500.0876157121438,-1501.4485635797707,1.360947867626919,0.46405015697193747,yellow
19,RTfirstpass,rnn,0.4382113654899519,-1501.1494159500467,-1501.4485635797707,0.29914762972407516,0.48083808627981656,darkgrey
20,RTfirstpass,s_GPT2,8.286287886341186e-08,-1497.477287716701,-1501.4485635797707,3.97127586306965,1.0675042486432362,tomato
21,RTfirstpass,s_GPT2_medium,4.702029674439867e-06,-1498.297513350345,-1501.4485635797707,3.151050229425664,1.0741466761878895,tomato
22,RTfirstpass,s_GPT2_large,1.9786718500686292e-05,-1498.6250579273885,-1501.4485635797707,2.8235056523822095,0.8700638498581339,tomato
23,RTfirstpass,s_GPT2_xl,2.0925887081081792e-05,-1498.6018954229135,-1501.4485635797707,2.8466681568572767,0.9676941504218982,tomato
24,RTfirstpass,s_GPTNeo_125M,1.369400947568054e-06,-1498.037671973512,-1501.4485635797707,3.4108916062587014,1.1213605904179946,tomato
25,RTfirstpass,s_GPTNeo,4.9844334894236206e-06,-1498.8075018747847,-1501.4485635797707,2.6410617049859866,1.3502926328056895,tomato
26,RTfirstpass,s_GPTNeo_large,2.4695978919825785e-05,-1498.8085291688194,-1501.4485635797707,2.64003441095133,1.132924772604544,tomato
27,RTfirstpass,cloze_p_smoothed,0.021496962601294203,-1500.5141573407714,-1501.4485635797707,0.9344062389993724,0.8290473011871607,yellow
28,RTfirstpass,cloze_s,3.825476340094452e-05,-1498.7681034983757,-1501.4485635797707,2.68046008139504,0.6974579999461883,tomato
29,RTfirstpass,rating_mean,0.002961685161951544,-1499.719197982892,-1501.4485635797707,1.7293655968787789,0.45056809856891245,orange
30,RTrightbound,bigram,0.010946685439833502,-1541.9164018392514,-1543.356697138665,1.440295299413492,0.53949835807673,yellow
31,RTrightbound,trigram,0.005355825875351388,-1541.887535161203,-1543.356697138665,1.4691619774619085,0.7024804683234099,orange
