,dv,iv,p,ll_cv_model,ll_cv_baseline,D_ll_cv,ll_sd,colors
0,RTfirstfix,bigram,0.05074355745281225,-1337.1884954533234,-1337.9046296607007,0.7161342073773085,0.6939015402298946,darkgrey
1,RTfirstfix,trigram,0.004107481687589889,-1336.3851868948464,-1337.9046296607007,1.5194427658543646,0.7946718489881738,orange
2,RTfirstfix,tetragram,0.001121546871016451,-1335.9010309668215,-1337.9046296607007,2.003598693879212,0.8228327932767764,orange
3,RTfirstfix,psg,0.0017796923287736086,-1336.3774541059693,-1337.9046296607007,1.527175554731457,0.82794927585836,orange
4,RTfirstfix,rnn,0.06168561208835645,-1337.2209798984925,-1337.9046296607007,0.6836497622082334,0.6664224468517762,darkgrey
5,RTfirstfix,s_GPT2,0.030360875231160576,-1336.808152801096,-1337.9046296607007,1.0964768596047634,0.6305633544384684,yellow
6,RTfirstfix,s_GPT2_medium,0.014813459057671318,-1336.480368266639,-1337.9046296607007,1.4242613940616593,0.6099183677612198,yellow
7,RTfirstfix,s_GPT2_large,0.010180904718506741,-1336.4731007387504,-1337.9046296607007,1.431528921950303,0.6247690092077883,yellow
8,RTfirstfix,s_GPT2_xl,0.00481846592029752,-1336.28399599698,-1337.9046296607007,1.6206336637208096,0.5536012572917839,orange
9,RTfirstfix,s_GPTNeo_125M,0.006360608876230769,-1336.3593885951645,-1337.9046296607007,1.5452410655361746,0.573045564124091,orange
10,RTfirstfix,s_GPTNeo,0.012786955664115413,-1336.5038834511456,-1337.9046296607007,1.400746209555109,0.4927384703086924,yellow
11,RTfirstfix,s_GPTNeo_large,0.012309677080917217,-1336.6515377164021,-1337.9046296607007,1.2530919442986033,0.7570604562519004,yellow
12,RTfirstfix,cloze_p_smoothed,0.0030261280820168255,-1336.442978474309,-1337.9046296607007,1.4616511863916912,0.7012560704608405,orange
13,RTfirstfix,cloze_s,0.00018218210506938274,-1335.6578134145325,-1337.9046296607007,2.246816246168237,0.9012757166189045,tomato
14,RTfirstfix,rating_mean,6.904394098625268e-10,-1332.8393951373114,-1337.9046296607007,5.065234523389336,1.2466905514224509,tomato
15,RTfirstpass,bigram,0.02744201892153368,-1399.815815890547,-1400.7096061476254,0.8937902570785354,0.7423196695210261,yellow
16,RTfirstpass,trigram,0.0011974615505278524,-1398.9055203839782,-1400.7096061476254,1.8040857636472083,0.874931901382736,orange
17,RTfirstpass,tetragram,0.0003033044470189415,-1398.426240458629,-1400.7096061476254,2.283365688996355,0.9117109030997887,tomato
18,RTfirstpass,psg,0.0008935716369294181,-1399.0464404143581,-1400.7096061476254,1.6631657332673058,0.9223406400230318,tomato
19,RTfirstpass,rnn,0.030194650008733056,-1399.7981184914795,-1400.7096061476254,0.9114876561459369,0.6808631958798926,yellow
20,RTfirstpass,s_GPT2,0.03503714941312625,-1399.6372272201913,-1400.7096061476254,1.0723789274341016,0.5365099400484981,yellow
21,RTfirstpass,s_GPT2_medium,0.017334166085302208,-1399.3982749205122,-1400.7096061476254,1.3113312271132145,0.5164031680229467,yellow
22,RTfirstpass,s_GPT2_large,0.013703057232677418,-1399.3517572939552,-1400.7096061476254,1.357848853670248,0.5317817047584259,yellow
23,RTfirstpass,s_GPT2_xl,0.005380216354037639,-1399.149033185004,-1400.7096061476254,1.560572962621336,0.47582890634946284,orange
